co_municipio,,no_municipio,,,populacao,,populacao,
350460,",'",BADY BASSITT,,",",18013,,"18,013","INSERT INTO public.populacao VALUES (350460,'BADY BASSITT',18013);"
350880,",'",CAFELANDIA,,",",17917,,0,"INSERT INTO public.populacao VALUES (350880,'CAFELANDIA',17917);"
352460,",'",JACUPIRANGA,,",",17911,,"17,911","INSERT INTO public.populacao VALUES (352460,'JACUPIRANGA',17911);"
351370,",'",DESCALVADO,,",",34097,,"34,097","INSERT INTO public.populacao VALUES (351370,'DESCALVADO',34097);"
350055,",'",AGUAS DE SANTA BARBARA,,",",6142,,"6,142","INSERT INTO public.populacao VALUES (350055,'AGUAS DE SANTA BARBARA',6142);"
353280,",'",NOVA ALIANCA,,",",7161,,"7,161","INSERT INTO public.populacao VALUES (353280,'NOVA ALIANCA',7161);"
#N/A,",'",PALMEIRA D OESTE,,",",9000,,"9,173",#N/A
354360,",'",RIFAINA,,",",3651,,"3,651","INSERT INTO public.populacao VALUES (354360,'RIFAINA',3651);"
352570,",'",JOSE BONIFACIO,,",",37707,,"37,707","INSERT INTO public.populacao VALUES (352570,'JOSE BONIFACIO',37707);"
351690,",'",GENERAL SALGADO,,",",10855,,"10,855","INSERT INTO public.populacao VALUES (351690,'GENERAL SALGADO',10855);"
351280,",'",COSMOPOLIS,,",",74662,,"74,662","INSERT INTO public.populacao VALUES (351280,'COSMOPOLIS',74662);"
350240,",'",ANHUMAS,,",",4172,,"4,172","INSERT INTO public.populacao VALUES (350240,'ANHUMAS',4172);"
351460,",'",DUMONT,,",",10174,,"10,174","INSERT INTO public.populacao VALUES (351460,'DUMONT',10174);"
355715,",'",ZACARIAS,,",",2784,,"2,784","INSERT INTO public.populacao VALUES (355715,'ZACARIAS',2784);"
350990,",'",CANANEIA,,",",12542,,"12,542","INSERT INTO public.populacao VALUES (350990,'CANANEIA',12542);"
350320,",'",ARARAQUARA,,",",240542,,"240,542","INSERT INTO public.populacao VALUES (350320,'ARARAQUARA',240542);"
353400,",'",ONDA VERDE,,",",4462,,"4,462","INSERT INTO public.populacao VALUES (353400,'ONDA VERDE',4462);"
354080,",'",POTIRENDABA,,",",17668,,"17,668","INSERT INTO public.populacao VALUES (354080,'POTIRENDABA',17668);"
352160,",'",IRAPURU,,",",8356,,"8,356","INSERT INTO public.populacao VALUES (352160,'IRAPURU',8356);"
350050,",'",AGUAS DE LINDOIA,,",",18908,,"18,908","INSERT INTO public.populacao VALUES (350050,'AGUAS DE LINDOIA',18908);"
354520,",'",SALTO,,",",120779,,"120,779","INSERT INTO public.populacao VALUES (354520,'SALTO',120779);"
350370,",'",ARIRANHA,,",",9851,,"9,851","INSERT INTO public.populacao VALUES (350370,'ARIRANHA',9851);"
351860,",'",GUARIBA,,",",40857,,"40,857","INSERT INTO public.populacao VALUES (351860,'GUARIBA',40857);"
351030,",'",CAPELA DO ALTO,,",",21257,,"21,257","INSERT INTO public.populacao VALUES (351030,'CAPELA DO ALTO',21257);"
355660,",'",VERA CRUZ,,",",10804,,"10,804","INSERT INTO public.populacao VALUES (355660,'VERA CRUZ',10804);"
350775,",'",BREJO ALEGRE,,",",2911,,"2,911","INSERT INTO public.populacao VALUES (350775,'BREJO ALEGRE',2911);"
355530,",'",TURMALINA,,",",1667,,"1,667","INSERT INTO public.populacao VALUES (355530,'TURMALINA',1667);"
355580,",'",URANIA,,",",9125,,0,"INSERT INTO public.populacao VALUES (355580,'URANIA',9125);"
352320,",'",ITARARE,,",",50778,,"50,778","INSERT INTO public.populacao VALUES (352320,'ITARARE',50778);"
354060,",'",PORTO FELIZ,,",",53698,,"53,698","INSERT INTO public.populacao VALUES (354060,'PORTO FELIZ',53698);"
352450,",'",JACI,,",",7322,,"7,322","INSERT INTO public.populacao VALUES (352450,'JACI',7322);"
354925,",'",SAO JOAO DE IRACEMA,,",",1942,,"1,942","INSERT INTO public.populacao VALUES (354925,'SAO JOAO DE IRACEMA',1942);"
353180,",'",MONTE MOR,,",",61707,,"61,707","INSERT INTO public.populacao VALUES (353180,'MONTE MOR',61707);"
355040,",'",SAO PEDRO,,",",36298,,"36,298","INSERT INTO public.populacao VALUES (355040,'SAO PEDRO',36298);"
352180,",'",ITAI,,",",27632,,"27,632","INSERT INTO public.populacao VALUES (352180,'ITAI',27632);"
351250,",'",COROADOS,,",",6197,,"6,197","INSERT INTO public.populacao VALUES (351250,'COROADOS',6197);"
350270,",'",APIAI,,",",24081,,"24,081","INSERT INTO public.populacao VALUES (350270,'APIAI',24081);"
355080,",'",SAO SEBASTIAO DA GRAMA,,",",12137,,"12,137","INSERT INTO public.populacao VALUES (355080,'SAO SEBASTIAO DA GRAMA',12137);"
350600,",'",BAURU,,",",381706,,"381,706","INSERT INTO public.populacao VALUES (350600,'BAURU',381706);"
352725,",'",LOURDES,,",",2311,,"2,311","INSERT INTO public.populacao VALUES (352725,'LOURDES',2311);"
351020,",'",CAPAO BONITO,,",",47098,,"47,098","INSERT INTO public.populacao VALUES (351020,'CAPAO BONITO',47098);"
352710,",'",LINS,,",",78978,,"78,978","INSERT INTO public.populacao VALUES (352710,'LINS',78978);"
353590,",'",PARANAPUA,,",",4112,,"4,112","INSERT INTO public.populacao VALUES (353590,'PARANAPUA',4112);"
351590,",'",FLOREAL,,",",2884,,"2,884","INSERT INTO public.populacao VALUES (351590,'FLOREAL',2884);"
352670,",'",LEME,,",",105273,,"105,273","INSERT INTO public.populacao VALUES (352670,'LEME',105273);"
352040,",'",ILHABELA,,",",36194,,"36,194","INSERT INTO public.populacao VALUES (352040,'ILHABELA',36194);"
351730,",'",GUAIMBE,,",",5806,,0,"INSERT INTO public.populacao VALUES (351730,'GUAIMBE',5806);"
354730,",'",SANTANA DE PARNAIBA,,",",145073,,"145,073","INSERT INTO public.populacao VALUES (354730,'SANTANA DE PARNAIBA',145073);"
